mature_accession	mature_name	mature_confidence	precursor_accession	precursor_name	precursor_confidence
MIMAT0025843	hsa-miR-6715b-3p	low	MI0022549	hsa-mir-6715b	low
MIMAT0025841	hsa-miR-6715a-3p	low	MI0022548	hsa-mir-6715a	low
MIMAT0016844	hsa-miR-4295	low	MI0015822	hsa-mir-4295	low
MIMAT0019017	hsa-miR-4483	low	MI0016844	hsa-mir-4483	low
MIMAT0010133	hsa-miR-2110	high	MI0010629	hsa-mir-2110	high
MIMAT0048639	hsa-miR-9851-5p	low	MI0039502	hsa-mir-9851	low
MIMAT0048640	hsa-miR-9851-3p	low	MI0039502	hsa-mir-9851	low
MIMAT0018084	hsa-miR-3663-5p	high	MI0016064	hsa-mir-3663	high
MIMAT0018085	hsa-miR-3663-3p	high	MI0016064	hsa-mir-3663	high
MIMAT0019766	hsa-miR-4681	low	MI0017313	hsa-mir-4681	low
MIMAT0019767	hsa-miR-4682	low	MI0017314	hsa-mir-4682	low
MIMAT0018357	hsa-miR-3941	low	MI0016598	hsa-mir-3941	low
MIMAT0016845	hsa-miR-4296	low	MI0015823	hsa-mir-4296	low
MIMAT0019018	hsa-miR-4484	low	MI0016845	hsa-mir-4484	low
MIMAT0016846	hsa-miR-4297	low	MI0015824	hsa-mir-4297	low
MIMAT0016847	hsa-miR-378c	low	MI0015825	hsa-mir-378c	low
MIMAT0002810	hsa-miR-202-5p	high	MI0003130	hsa-mir-202	high
MIMAT0002811	hsa-miR-202-3p	high	MI0003130	hsa-mir-202	high
MIMAT0018360	hsa-miR-3944-3p	high	MI0016601	hsa-mir-3944	high
MIMAT0019231	hsa-miR-3944-5p	high	MI0016601	hsa-mir-3944	high
MIMAT0027387	hsa-miR-6743-5p	low	MI0022588	hsa-mir-6743	low
MIMAT0027388	hsa-miR-6743-3p	low	MI0022588	hsa-mir-6743	low
MIMAT0000267	hsa-miR-210-3p	high	MI0000286	hsa-mir-210	high
MIMAT0026475	hsa-miR-210-5p	high	MI0000286	hsa-mir-210	high
MIMAT0027389	hsa-miR-6744-5p	low	MI0022589	hsa-mir-6744	low
